,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Comedy,187,154,174,170,166,189,150,188,154,172,173,166,191,207,208,207,210,196,214,205,211,243,228,228,242,227,221,233,232,250,244,224,248,283,273,312,314,363,348,342,366,330,340,338,382,367,404,418,457,526,553,630,590,695,713,741,764,746,743,830,823,882,889,863,907,953,913,631
Drama,239,262,264,273,266,327,321,377,356,385,352,345,362,350,316,351,320,332,398,430,418,418,421,472,458,408,436,408,443,456,440,408,424,451,435,429,444,512,483,469,436,444,481,510,510,561,542,584,630,670,764,837,872,864,929,998,1085,1116,1122,1128,1146,1249,1194,1282,1352,1450,1383,1202
Action,39,42,40,49,36,48,45,65,61,68,41,70,86,88,105,119,123,83,90,109,97,88,115,141,135,95,117,119,118,132,113,104,112,113,147,149,159,205,208,218,208,181,199,232,222,251,209,224,215,231,243,257,289,350,293,293,291,296,329,362,424,407,409,437,429,460,445,370
Biography,8,9,16,16,14,21,18,25,11,16,16,15,11,12,16,11,9,11,6,13,18,18,18,27,26,32,26,33,28,23,34,32,28,32,29,35,37,33,31,36,33,30,25,49,45,42,45,35,49,49,62,46,59,56,56,75,59,73,85,79,97,86,77,114,120,133,100,85
Crime,92,74,57,87,72,95,75,103,82,108,93,73,69,68,73,56,73,86,96,87,55,93,107,148,125,115,122,82,82,70,84,67,70,86,83,108,110,129,119,162,135,116,121,145,125,141,147,158,176,143,203,210,203,215,195,208,234,265,240,270,271,253,252,275,295,293,284,200
Music,47,32,40,29,26,24,33,72,70,66,40,31,30,27,33,36,25,30,44,31,38,28,32,25,34,34,24,41,37,45,47,50,47,60,89,70,54,65,59,66,63,63,67,56,56,46,51,45,68,68,89,75,72,92,93,97,79,79,82,85,66,79,90,85,96,67,62,30
Western,70,54,60,67,59,73,78,86,67,63,50,29,23,21,38,46,57,66,68,35,43,58,54,34,27,34,31,10,20,14,8,9,8,7,5,7,8,6,10,7,10,8,7,12,14,16,4,5,7,14,12,5,10,11,5,9,8,7,11,13,11,14,13,11,21,10,18,22
Romance,55,65,63,76,62,80,76,101,103,73,62,55,56,69,63,77,77,75,84,80,79,55,66,66,65,45,59,55,56,68,73,71,71,76,85,91,74,97,92,82,72,84,105,103,112,126,118,137,163,207,233,245,275,233,272,277,296,295,284,291,300,295,297,352,368,344,314,172
Mystery,29,24,23,18,27,20,20,24,25,30,28,24,25,32,26,34,21,36,29,21,26,52,54,43,47,47,32,37,39,32,38,40,41,42,41,40,41,48,46,52,39,44,42,50,64,60,67,74,80,60,77,105,107,100,115,143,125,143,138,158,125,139,134,189,185,173,166,128
Animation,65,59,55,50,63,55,48,59,37,50,30,45,38,36,43,67,71,81,52,67,45,52,49,61,49,54,68,75,90,85,77,82,78,84,83,114,109,126,113,100,92,118,97,103,109,106,107,115,134,135,140,134,131,178,161,145,164,147,165,158,185,174,158,191,160,175,156,86
Short,150,129,128,153,150,177,155,158,107,133,109,117,132,112,147,145,166,155,135,153,104,122,104,96,106,122,112,114,124,99,92,102,85,98,102,96,114,125,125,129,133,129,124,152,167,146,145,163,180,170,198,209,213,210,250,215,206,204,192,225,286,275,277,261,260,267,199,242
Family,85,77,72,67,85,76,74,77,57,61,62,49,52,59,56,68,65,62,35,62,58,56,68,69,71,63,105,90,80,90,76,93,105,97,111,114,101,117,99,96,97,104,110,117,122,124,134,109,134,167,148,132,137,169,131,138,135,146,139,145,140,159,138,163,182,181,160,95
Adventure,42,51,65,74,81,66,71,82,67,75,57,65,87,67,82,87,88,88,86,85,66,64,69,72,65,81,70,96,81,88,82,84,77,84,79,117,110,115,92,109,114,105,103,135,152,164,162,168,185,147,160,176,183,221,195,188,183,163,196,199,188,211,188,245,241,259,241,156
Game-Show,18,15,11,9,9,8,15,15,12,7,4,7,6,4,3,10,3,6,4,5,4,5,5,5,10,12,10,6,5,6,3,6,7,10,15,10,8,9,12,8,13,8,9,10,8,9,8,11,14,12,18,16,18,22,14,15,15,15,23,19,9,4,8,11,14,11,5,7
